0,45.0
1,70.0
2,60.0
3,70.0
4,60.0
5,55.0
6,75.0
7,75.0
8,75.0
9,70.0
10,70.0
11,70.0
12,75.0
13,70.0
14,65.0
15,65.0
16,70.0
17,70.0
18,70.0
19,75.0
20,65.0
21,70.0
22,70.0
23,75.0
24,70.0
25,70.0
26,75.0
27,65.0
28,65.0
29,45.0
30,45.0
31,65.0
32,50.0
33,40.0
34,50.0
35,50.0
36,35.0
37,55.0
38,50.0
39,50.0
40,50.0
41,60.0
42,70.0
43,65.0
44,45.0
45,70.0
46,75.0
47,50.0
48,60.0
49,65.0
50,65.0
51,55.0
52,65.0
53,65.0
54,75.0
55,65.0
56,70.0
57,55.0
58,70.0
59,65.0
60,50.0
61,55.0
62,60.0
63,65.0
64,50.0
65,50.0
66,45.0
67,45.0
68,50.0
69,45.0
70,65.0
71,40.0
72,60.0
73,50.0
74,55.0
75,55.0
76,55.0
77,65.0
78,65.0
79,70.0
80,60.0
81,50.0
82,60.0
83,55.0
84,70.0
85,55.0
86,45.0
87,60.0
88,65.0
89,50.0
90,45.0
91,50.0
92,45.0
93,55.0
94,50.0
95,55.0
96,45.0
97,55.0
98,45.0
99,45.0
100,50.0
101,55.0
102,60.0
103,65.0
104,55.0
105,65.0
106,60.0
107,60.0
108,65.0
109,60.0
110,65.0
111,65.0
112,55.0
113,55.0
114,60.0
115,50.0
116,60.0
117,60.0
118,80.0
119,65.0
120,70.0
121,75.0
122,80.0
123,80.0
124,75.0
125,70.0
126,80.0
127,65.0
128,65.0
129,75.0
130,70.0
131,75.0
132,45.0
133,65.0
134,65.0
135,60.0
136,65.0
137,65.0
138,65.0
139,65.0
140,70.0
141,70.0
142,65.0
143,65.0
144,75.0
145,65.0
146,70.0
147,70.0
148,70.0
149,70.0
150,60.0
151,65.0
152,65.0
153,70.0
154,60.0
155,60.0
156,60.0
157,60.0
158,65.0
159,60.0
160,65.0
161,65.0
162,70.0
163,45.0
164,65.0
165,70.0
166,60.0
167,70.0
168,70.0
169,70.0
170,70.0
171,65.0
172,55.0
173,75.0
174,70.0
175,65.0
176,75.0
177,70.0
178,65.0
179,65.0
180,70.0
181,65.0
182,70.0
183,70.0
184,65.0
185,60.0
186,65.0
187,75.0
188,75.0
189,75.0
190,75.0
191,70.0
192,65.0
193,55.0
194,60.0
195,60.0
196,65.0
197,55.0
198,55.0
199,65.0
200,50.0
201,45.0
202,55.0
203,65.0
204,45.0
205,55.0
206,55.0
207,50.0
208,60.0
209,65.0
210,40.0
211,65.0
212,60.0
213,55.0
214,55.0
215,55.0
216,55.0
217,40.0
218,60.0
219,50.0
220,60.0
221,60.0
222,55.0
223,60.0
224,65.0
225,60.0
226,60.0
227,55.0
228,60.0
229,70.0
230,60.0
231,65.0
232,65.0
233,65.0
234,65.0
235,70.0
236,70.0
237,65.0
238,60.0
239,65.0
240,60.0
